,miRNA,Plasma_C1,Plasma_C2,Plasma_C3,Plasma_C4,Plasma_C5,Plasma_C6,Plasma_HP01_T,Plasma_HP02_T,Plasma_HP03_T,Plasma_HP04_T,Plasma_HP01_T,Tissue_HP01_T,Tissue_HP02_T,Tissue_HP03_T,Tissue_HP04_T,Tissue_HP05_T,Tissue_HP01_N,Tissue_HP03_N,Tissue_HP04_N,Tissue_HP05_N
78,hsa-miR-1231,23,104,106,102,139,120,0,0,0,0,0,0,0,11,16,0,0,17,0,11
79,hsa-miR-1233-3p,13,29,35,40,57,74,0,0,0,0,0,0,0,0,12,0,0,23,0,0
80,hsa-miR-1233-5p,0,71,35,20,54,83,0,0,0,0,0,0,0,0,0,0,0,50,0,0
81,hsa-miR-1234-3p,0,28,24,11,137,96,23,13,12,0,0,0,0,0,0,0,0,26,0,0
82,hsa-miR-1236-3p,0,25,59,51,86,95,0,14,0,0,0,0,0,0,13,0,0,28,0,0
83,hsa-miR-1236-5p,16,63,50,84,88,149,14,12,15,0,0,0,0,0,0,0,0,19,0,10
84,hsa-miR-1237-3p,70,161,149,149,278,335,40,15,24,23,24,10,0,10,18,0,0,16,0,12
85,hsa-miR-1237-5p,143,801,1020,767,185,141,11,26,60,33,19,16,0,11,28,0,0,154,25,17
86,hsa-miR-1238-3p,0,16,29,28,62,63,10,0,0,0,0,0,0,0,0,0,0,14,0,0
87,hsa-miR-1238-5p,26,38,28,44,105,94,10,0,0,0,0,0,0,0,0,0,0,0,0,0
88,hsa-miR-124-3p,0,58,25,79,100,109,13,11,0,0,0,0,15,0,0,0,0,0,0,0
89,hsa-miR-124-5p,0,38,26,52,73,81,0,11,0,0,10,0,0,0,0,0,0,0,0,0
90,hsa-miR-1243,15,18,41,40,72,107,0,15,0,0,0,0,0,0,0,0,0,0,0,0
91,hsa-miR-1244,122,218,221,298,200,168,0,54,27,0,12,0,0,0,11,0,0,21,0,0
92,hsa-miR-1245a,0,27,40,32,35,30,0,0,0,13,0,0,0,0,0,0,0,0,0,0
93,hsa-miR-1245b-3p,21,69,113,147,84,95,15,0,10,0,0,0,11,0,0,0,0,0,10,0
94,hsa-miR-1245b-5p,0,36,38,41,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,hsa-miR-1246,47,58,80,74,119,127,62,42,35,47,55,75,89,493,77,462,16,265,29,38
96,hsa-miR-1247-3p,95,571,446,372,241,204,30,16,63,36,12,49,36,0,26,18,21,27,14,38
97,hsa-miR-1247-5p,35,178,162,137,300,275,26,32,29,28,0,1199,508,0,48,118,69,86,43,127
98,hsa-miR-1248,17,18,26,25,35,92,0,0,0,0,0,12,11,0,12,0,0,249,16,10
99,hsa-miR-1249-3p,22,106,76,129,225,294,0,22,10,12,0,12,45,0,23,0,0,16,0,0
100,hsa-miR-1249-5p,0,44,15,22,48,57,0,11,0,0,0,0,0,0,0,0,0,23,0,0
101,hsa-miR-1250-3p,14,53,38,49,145,135,0,28,11,0,0,0,0,0,18,0,0,17,0,12
102,hsa-miR-1250-5p,37,41,49,56,78,100,13,0,0,0,0,0,0,0,14,0,0,0,0,0
103,hsa-miR-1251-3p,44,295,330,360,72,51,0,0,10,0,0,0,0,0,10,0,0,0,0,0
104,hsa-miR-1251-5p,14,71,63,62,138,97,23,0,0,15,0,0,0,0,0,0,0,0,0,0
105,hsa-miR-1252-3p,0,27,13,27,39,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,hsa-miR-1252-5p,17,67,71,114,94,119,0,0,0,0,0,12,12,0,29,11,0,0,0,13
107,hsa-miR-1253,0,133,37,18,225,293,0,13,0,0,0,0,0,0,0,0,0,20,0,0
108,hsa-miR-1254,0,25,25,26,59,53,0,11,0,0,0,0,0,0,16,0,0,21,0,10
109,hsa-miR-1255a,0,13,14,20,31,31,0,0,0,0,0,0,48,0,32,15,17,15,0,0
110,hsa-miR-1255b-5p,34,51,63,49,107,120,11,0,0,0,109,12,11,0,17,13,12,0,0,12
111,hsa-miR-1256,20,28,22,31,67,67,0,0,10,0,0,0,0,0,0,0,0,12,0,0
112,hsa-miR-1257,23,72,58,82,182,228,22,0,0,0,0,0,10,18,0,0,0,0,0,0
113,hsa-miR-1258,21,39,40,35,146,114,23,12,15,0,0,0,0,0,0,0,0,14,0,0
114,hsa-miR-125a-3p,10,70,55,70,202,261,14,0,13,0,0,36,139,55,183,95,51,20,82,69
115,hsa-miR-125a-5p,1040,2932,3886,4877,2892,4670,2108,282,1529,1841,1391,79166,129560,25907,135942,41141,18166,4926,12017,19743
116,hsa-miR-125b-1-3p,0,30,32,35,140,161,18,0,22,16,0,659,766,497,1805,636,351,17,819,893
117,hsa-miR-125b-2-3p,0,48,38,45,135,142,11,0,18,61,34,1156,1344,24,208,369,154,32,430,449
118,hsa-miR-125b-5p,374,1664,2345,1891,946,3397,1820,143,1671,1371,1069,232649,311079,59182,411420,68127,39353,3047,49819,105608
119,hsa-miR-126-3p,2844,10812,12374,22781,17669,23736,1497,484,741,717,1921,73299,93611,15144,401547,29269,59801,21961,61531,87810
120,hsa-miR-126-5p,661,1420,1945,4804,2289,4142,590,195,180,268,417,14268,26492,2606,91231,4630,7953,4922,15842,21651
121,hsa-miR-1260a,40,192,237,317,134,144,28,17,0,0,11,51,63,22,106,20,38,41,33,29
122,hsa-miR-1260b,28,171,133,126,166,196,34,31,10,0,0,220,180,80,234,31,130,45,113,147
123,hsa-miR-1261,15,34,50,130,108,125,15,15,0,0,0,0,0,0,0,0,0,12,0,0
124,hsa-miR-1262,35,61,69,87,223,205,22,26,20,10,0,26,16,14,33,10,49,30,55,37
125,hsa-miR-1263,0,24,32,29,59,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,hsa-miR-1264,0,16,18,0,43,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,hsa-miR-1265,29,162,111,163,178,199,14,13,0,0,35,0,0,0,0,0,0,0,0,0
128,hsa-miR-1266-3p,0,85,54,80,49,67,0,0,0,0,0,0,0,0,0,0,0,14,0,0
129,hsa-miR-1266-5p,36,98,128,118,188,219,26,15,23,16,0,0,0,15,15,49,12,181,16,18
130,hsa-miR-1267,44,109,110,154,73,84,14,12,11,0,0,0,0,0,11,0,0,0,0,0
131,hsa-miR-1268a,12,40,40,88,71,85,26,17,0,0,0,130,109,55,259,11,77,69,27,62
132,hsa-miR-1268b,26,79,55,113,68,111,31,29,20,0,0,82,96,67,153,13,70,57,45,56
133,hsa-miR-1269a,0,26,22,37,107,150,0,17,0,0,0,0,291,0,6292,0,0,13,0,0
134,hsa-miR-1269b,0,25,10,0,67,49,0,0,0,0,0,0,1044,0,0,0,0,0,0,0
135,hsa-miR-127-3p,53,215,81,61,110,245,123,10,39,56,41,9960,9497,330,273,4210,5505,212,7063,8188
136,hsa-miR-127-5p,21,82,64,49,51,77,13,0,0,0,0,322,584,15,21,187,183,31,572,850
137,hsa-miR-1270,31,146,83,62,222,182,12,20,0,0,10,71,34,126,94,36,91,17,30,87
138,hsa-miR-1271-3p,0,0,0,0,37,46,0,0,0,0,13,0,0,0,0,0,0,0,0,0
139,hsa-miR-1271-5p,0,11,16,14,47,36,16,0,0,0,0,253,419,76,319,95,56,0,62,90
140,hsa-miR-1272,24,70,69,72,113,139,17,0,0,0,0,27,14,20,70,12,11,72,12,21
141,hsa-miR-1273a,14,63,20,24,59,103,31,10,0,0,0,0,0,0,27,11,0,23,0,20
142,hsa-miR-1273c,10,64,53,51,194,181,11,11,0,0,0,12,12,0,58,0,0,169,0,20
143,hsa-miR-1273d,0,20,28,27,56,85,0,0,0,0,0,0,0,0,0,0,0,66,0,0
144,hsa-miR-1273e,14,74,24,21,67,75,0,0,0,13,0,0,0,0,20,0,0,58,11,10
145,hsa-miR-1273f,0,11,11,0,47,61,0,0,0,0,0,0,0,0,17,0,0,92,0,0
146,hsa-miR-1273g-3p,0,64,42,37,87,103,12,0,0,14,18,14,0,24,19,20,0,414,0,19
147,hsa-miR-1273g-5p,11,24,23,26,57,67,0,15,0,0,0,0,0,0,0,0,0,13,0,0
148,hsa-miR-1273h-3p,37,137,145,132,131,144,12,0,12,22,0,0,0,13,13,0,11,40,0,10
149,hsa-miR-1273h-5p,14,16,22,10,45,61,18,0,15,0,0,0,0,0,0,0,0,56,0,0
150,hsa-miR-1275,0,25,19,24,28,38,0,0,0,0,0,68,41,85,27,21,130,25,75,112
151,hsa-miR-1276,431,1206,1753,1405,166,108,14,15,63,65,0,0,0,10,0,12,0,11,0,0
152,hsa-miR-1277-3p,0,19,21,19,41,44,0,0,13,0,0,0,12,0,12,0,0,0,0,0
153,hsa-miR-1277-5p,0,26,44,52,37,66,0,13,0,0,0,154,467,243,383,128,136,37,88,162
154,hsa-miR-1278,0,33,0,19,27,43,0,0,0,0,0,0,0,11,0,0,0,0,0,0
155,hsa-miR-1279,0,0,12,12,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,hsa-miR-128-1-5p,18,177,100,146,172,218,12,12,36,0,0,10,0,17,31,0,0,27,0,17
157,hsa-miR-128-2-5p,47,165,100,196,117,124,25,15,22,20,15,0,0,0,0,0,0,0,0,0
158,hsa-miR-128-3p,114,400,553,467,491,840,127,21,35,58,80,2480,3999,2048,5375,989,1219,355,818,1449
159,hsa-miR-1281,26,35,37,45,133,126,14,0,0,0,0,0,0,0,0,0,0,32,13,0
160,hsa-miR-1282,10,22,18,19,67,59,0,0,0,0,0,0,0,0,13,0,0,10,0,0
161,hsa-miR-1283,13,39,31,65,57,71,0,0,0,0,0,0,11,0,83,0,0,0,0,0
162,hsa-miR-1284,24,50,44,59,125,112,0,20,20,0,0,0,0,0,0,0,0,16,0,0
163,hsa-miR-1285-3p,24,24,26,29,197,186,14,13,14,0,0,13,21,16,28,15,0,26,18,20
164,hsa-miR-1286,12,77,67,115,64,82,0,0,16,0,0,0,0,0,0,11,0,10,0,0
165,hsa-miR-1287-3p,365,966,1202,687,120,134,0,18,54,93,68,0,0,0,0,14,0,14,0,0
166,hsa-miR-1287-5p,35,300,144,261,319,356,0,29,27,0,21,106,236,229,341,207,64,25,68,88
167,hsa-miR-1288-3p,0,18,25,23,41,73,0,0,0,0,0,0,0,0,0,0,0,13,0,0
168,hsa-miR-1288-5p,18,31,27,28,81,73,0,10,14,0,0,0,0,0,0,0,0,11,0,0
169,hsa-miR-1289,19,26,37,38,88,161,0,0,0,0,0,0,0,0,0,0,0,13,0,0
170,hsa-miR-129-1-3p,0,12,0,15,64,65,10,0,0,0,0,0,0,0,0,0,17,0,0,20
171,hsa-miR-129-2-3p,0,37,16,20,64,74,0,0,0,0,0,112,31,0,0,0,28,12,57,34
172,hsa-miR-129-5p,11,45,33,39,138,150,18,0,0,0,0,928,181,0,59,43,353,25,413,472
173,hsa-miR-1290,94,192,107,134,248,251,29,31,34,29,19,0,0,10,0,11,0,22,0,0
174,hsa-miR-1291,35,81,60,70,119,133,14,24,23,17,0,13,11,13,21,17,17,54,11,28
