,miRNA,Plasma_C1,Plasma_C2,Plasma_C3,Plasma_C4,Plasma_C5,Plasma_C6,Plasma_HP01_T,Plasma_HP02_T,Plasma_HP03_T,Plasma_HP04_T,Plasma_HP01_T,Tissue_HP01_T,Tissue_HP02_T,Tissue_HP03_T,Tissue_HP04_T,Tissue_HP05_T,Tissue_HP01_N,Tissue_HP03_N,Tissue_HP04_N,Tissue_HP05_N
1264,hsa-miR-4700-5p,16,41,44,46,269,262,0,11,16,0,0,0,0,0,12,0,0,38,0,10
1265,hsa-miR-4701-3p,19,100,45,213,62,92,0,13,25,0,0,0,0,0,0,0,0,0,0,0
1266,hsa-miR-4701-5p,23,65,82,72,84,105,13,16,26,10,0,0,0,0,0,0,10,13,11,0
1267,hsa-miR-4703-3p,0,24,19,24,34,51,0,28,19,0,0,0,0,0,0,0,0,0,0,0
1268,hsa-miR-4703-5p,11,28,11,10,36,48,0,15,0,0,0,28,64,17,164,55,19,13,83,171
1269,hsa-miR-4704-3p,11,35,35,35,47,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,hsa-miR-4704-5p,11,15,16,32,38,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,hsa-miR-4705,11,40,23,37,74,84,0,19,0,0,0,0,0,0,0,0,0,0,0,13
1272,hsa-miR-4706,24,83,53,62,187,185,21,0,12,0,13,0,0,0,13,0,17,15,0,0
1273,hsa-miR-4707-3p,63,419,297,221,216,282,16,20,23,23,16,0,0,0,0,0,0,20,10,0
1274,hsa-miR-4707-5p,17,117,66,64,132,193,11,10,11,29,0,0,0,0,11,0,0,1004,15,0
1275,hsa-miR-4708-3p,0,32,31,50,71,70,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1276,hsa-miR-4709-3p,14,28,23,27,112,135,0,10,0,0,0,0,0,0,20,0,0,0,0,0
1277,hsa-miR-4709-5p,51,291,546,321,120,115,17,12,0,0,0,0,0,0,17,0,0,12,0,0
1278,hsa-miR-4710,0,31,35,40,95,97,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1279,hsa-miR-4711-3p,0,31,33,29,395,460,36,31,0,0,0,0,0,0,0,0,0,0,0,0
1280,hsa-miR-4711-5p,0,40,22,14,70,51,13,0,0,0,0,0,0,0,11,0,0,15,0,0
1281,hsa-miR-4712-3p,0,12,15,16,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,hsa-miR-4712-5p,0,53,46,105,118,124,12,0,0,0,0,0,0,0,16,0,0,12,0,0
1283,hsa-miR-4713-3p,27,241,190,95,154,194,29,52,0,12,42,11,0,0,28,0,0,15,0,0
1284,hsa-miR-4713-5p,19,76,70,106,121,140,0,12,19,0,12,0,0,0,18,10,0,14,0,0
1285,hsa-miR-4714-3p,42,83,81,86,141,170,0,11,0,0,0,0,0,0,0,18,0,18,0,26
1286,hsa-miR-4714-5p,0,86,69,99,70,148,0,16,0,0,0,0,0,0,12,0,0,10,0,0
1287,hsa-miR-4715-3p,0,18,22,20,55,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288,hsa-miR-4715-5p,0,17,19,27,55,43,0,0,22,0,0,0,0,0,0,0,0,0,0,0
1289,hsa-miR-4716-3p,0,38,45,71,128,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,hsa-miR-4716-5p,18,45,27,57,82,86,0,0,0,0,0,10,0,0,30,0,10,20,0,13
1291,hsa-miR-4717-3p,0,12,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,hsa-miR-4717-5p,0,19,15,0,76,76,0,0,12,0,0,0,0,0,0,0,0,17,0,0
1293,hsa-miR-4718,0,61,41,35,150,159,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1294,hsa-miR-4719,0,21,25,26,59,55,0,73,0,0,0,0,0,0,0,0,0,0,0,0
1295,hsa-miR-4720-3p,12,32,17,16,41,57,0,0,10,0,213,0,0,0,0,0,0,0,0,0
1296,hsa-miR-4720-5p,0,18,25,36,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,hsa-miR-4721,49,181,189,209,103,119,0,0,14,0,0,15,11,0,20,0,0,17,15,17
1298,hsa-miR-4722-3p,0,18,0,13,84,106,10,0,0,0,0,0,0,0,0,0,0,10,0,0
1299,hsa-miR-4722-5p,0,39,15,27,66,42,0,10,10,0,0,0,0,0,0,0,0,0,0,0
1300,hsa-miR-4723-3p,0,69,31,33,91,78,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1301,hsa-miR-4723-5p,17,21,22,28,64,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,hsa-miR-4724-3p,14,48,40,46,62,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,hsa-miR-4724-5p,18,106,93,115,109,127,17,12,0,19,0,0,0,0,0,0,0,15,0,0
1304,hsa-miR-4725-3p,27,70,105,92,272,311,19,14,30,0,0,0,0,11,10,0,0,10,0,11
1305,hsa-miR-4725-5p,14,61,53,60,96,77,12,11,0,15,0,0,0,0,0,0,10,19,0,0
1306,hsa-miR-4726-3p,26,132,151,173,164,154,22,0,0,0,0,11,0,13,10,0,0,22,0,0
1307,hsa-miR-4726-5p,21,50,75,100,106,106,0,0,0,0,0,12,0,0,20,0,0,25,0,10
1308,hsa-miR-4727-3p,13,75,31,61,87,89,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1309,hsa-miR-4727-5p,10,64,38,54,65,79,11,0,0,0,0,0,0,0,13,0,0,16,0,0
1310,hsa-miR-4728-3p,14,70,65,59,63,80,19,26,0,0,0,0,0,0,0,0,0,18,0,0
1311,hsa-miR-4728-5p,0,17,12,14,21,49,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1312,hsa-miR-4729,34,64,87,83,207,191,21,13,0,0,0,22,109,58,113,16,50,25,104,129
1313,hsa-miR-4730,28,163,167,175,89,105,10,16,0,0,0,0,0,0,0,0,0,14,0,0
1314,hsa-miR-4731-3p,50,166,202,204,171,212,25,0,31,19,0,0,0,0,0,0,0,15,0,0
1315,hsa-miR-4731-5p,0,38,27,35,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,hsa-miR-4732-3p,115,263,350,192,209,268,66,44,16,29,18,0,0,0,10,0,0,32,0,10
1317,hsa-miR-4732-5p,68,270,669,92,336,351,29,39,0,0,39,28,17,14,42,0,12,27,15,10
1318,hsa-miR-4733-3p,10,52,60,75,61,63,0,14,0,0,0,0,0,0,0,0,0,11,0,0
1319,hsa-miR-4733-5p,20,60,69,108,75,86,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,hsa-miR-4734,10,55,24,31,86,98,11,0,0,0,0,0,0,0,12,0,0,44,0,11
1321,hsa-miR-4735-3p,0,26,21,25,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322,hsa-miR-4735-5p,13,21,32,37,65,89,0,16,0,0,0,0,0,0,0,0,0,0,0,0
1323,hsa-miR-4736,0,13,22,0,38,44,10,0,0,13,0,0,0,0,0,0,0,0,0,0
1324,hsa-miR-4737,15,51,56,78,71,87,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1325,hsa-miR-4738-3p,19,57,25,29,70,102,0,10,0,0,0,10,0,12,12,0,0,21,10,10
1326,hsa-miR-4738-5p,30,125,184,176,147,147,27,0,0,15,0,0,0,0,0,0,0,0,0,0
1327,hsa-miR-4739,36,93,74,96,380,505,19,29,0,13,0,0,0,0,0,0,0,71,0,0
1328,hsa-miR-4740-3p,13,53,65,74,120,134,10,40,12,0,0,0,0,0,0,0,0,0,0,0
1329,hsa-miR-4740-5p,13,87,46,58,108,129,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,hsa-miR-4741,37,141,137,204,390,471,16,40,15,14,0,0,0,15,10,12,0,21,0,0
1331,hsa-miR-4742-3p,0,16,17,10,29,43,10,0,0,0,0,11,13,0,21,0,0,0,0,0
1332,hsa-miR-4742-5p,0,16,11,24,30,39,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1333,hsa-miR-4743-3p,166,31,32,42,77,116,0,10,57,0,5897,0,0,30,46,183,0,123,22,20
1334,hsa-miR-4743-5p,0,76,42,55,112,118,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1335,hsa-miR-4744,0,23,42,42,80,103,0,13,0,0,0,0,0,0,0,0,0,10,0,0
1336,hsa-miR-4745-3p,206,427,474,310,390,392,36,26,46,39,37,0,0,0,0,0,0,36,0,0
1337,hsa-miR-4745-5p,11,41,49,49,84,123,0,0,0,15,0,0,17,0,11,0,12,105,35,11
1338,hsa-miR-4746-3p,53,191,189,183,80,103,0,0,0,15,0,0,0,0,0,0,0,13,0,0
1339,hsa-miR-4746-5p,25,93,128,114,109,142,0,0,17,16,0,0,0,15,15,12,0,26,0,0
1340,hsa-miR-4747-3p,13,44,68,104,112,92,0,14,0,0,0,0,0,0,0,0,0,10,0,0
1341,hsa-miR-4747-5p,0,17,10,17,64,38,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1342,hsa-miR-4748,16,68,68,99,120,127,17,10,28,0,0,0,0,13,0,0,0,15,0,0
1343,hsa-miR-4749-3p,0,0,14,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,hsa-miR-4749-5p,15,71,36,54,180,221,0,17,0,0,0,0,0,0,0,0,0,18,0,0
1345,hsa-miR-4750-3p,13,17,13,23,174,63,16,0,0,0,0,0,0,0,0,0,0,19,0,0
1346,hsa-miR-4750-5p,45,73,74,96,128,112,18,18,0,19,0,11,0,15,12,10,19,44,40,10
1347,hsa-miR-4751,11,31,23,29,114,122,12,0,0,0,0,0,0,0,11,0,0,10,0,0
1348,hsa-miR-4752,14,33,32,48,54,79,0,10,0,0,0,0,0,0,0,0,0,13,0,0
1349,hsa-miR-4753-3p,10,28,35,47,67,88,0,11,0,0,0,0,0,0,10,0,0,0,0,0
1350,hsa-miR-4753-5p,12,43,29,42,82,104,18,12,0,0,0,0,0,0,16,0,0,21,0,11
1351,hsa-miR-4754,65,215,176,197,243,254,24,12,22,0,20,0,0,0,0,0,0,10,0,0
1352,hsa-miR-4755-3p,0,16,29,27,64,54,0,16,0,11,0,0,0,0,0,0,0,10,0,0
1353,hsa-miR-4755-5p,0,27,24,19,90,86,0,0,0,0,0,0,0,0,0,0,0,13,10,0
1354,hsa-miR-4756-3p,0,15,0,23,63,63,10,10,0,0,0,0,0,0,0,0,0,10,0,0
1355,hsa-miR-4756-5p,11,51,45,50,62,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,hsa-miR-4757-3p,11,45,31,36,159,159,36,20,14,0,35,0,0,0,0,0,0,16,0,0
1357,hsa-miR-4757-5p,12,147,33,35,71,85,14,13,17,0,16,0,0,0,0,0,0,0,0,0
1358,hsa-miR-4758-3p,12,88,13,14,74,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,hsa-miR-4758-5p,15,77,37,38,129,140,0,20,0,12,0,0,0,0,0,0,0,23,11,0
1360,hsa-miR-4759,13,82,115,111,100,112,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1361,hsa-miR-4760-3p,0,35,21,29,87,70,25,23,0,0,0,0,0,0,0,0,0,11,0,0
1362,hsa-miR-4760-5p,12,23,29,49,99,125,10,12,0,0,0,0,0,0,0,0,0,0,0,0
1363,hsa-miR-4761-3p,0,23,0,0,70,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,hsa-miR-4761-5p,0,61,17,42,59,63,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1365,hsa-miR-4762-3p,0,36,38,53,57,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,hsa-miR-4762-5p,0,24,18,14,53,47,12,51,0,0,0,13,22,0,19,0,0,0,38,40
1367,hsa-miR-4763-3p,10,34,24,28,53,50,0,0,19,0,0,0,0,0,0,0,0,21,10,0
1368,hsa-miR-4763-5p,39,59,64,55,142,162,19,0,12,0,0,0,0,0,18,0,0,25,12,10
1369,hsa-miR-4764-3p,15,83,62,44,253,303,19,42,23,11,0,0,0,0,0,0,0,10,0,0
1370,hsa-miR-4764-5p,25,44,60,54,83,83,0,17,0,0,0,0,0,0,0,0,0,10,0,0
1371,hsa-miR-4765,83,59,54,93,99,97,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,hsa-miR-4766-3p,15,52,38,52,60,59,0,17,10,0,11,0,0,0,10,0,0,0,0,0
1373,hsa-miR-4766-5p,0,59,30,41,66,77,11,25,0,10,0,0,0,0,0,0,0,0,0,0
1374,hsa-miR-4767,13,47,47,59,134,148,14,15,13,0,0,0,0,0,14,14,12,109,20,15
1375,hsa-miR-4768-3p,18,24,19,25,77,89,0,13,0,0,0,0,0,0,0,0,0,26,0,19
1376,hsa-miR-4768-5p,14,26,28,23,48,51,11,0,0,0,0,0,0,0,0,0,0,14,0,0
1377,hsa-miR-4769-3p,96,383,338,443,208,173,22,16,20,22,0,0,0,0,20,0,0,55,0,0
1378,hsa-miR-4769-5p,12,22,18,18,77,85,0,0,0,0,0,0,0,0,14,0,0,24,0,0
1379,hsa-miR-4770,13,24,19,28,287,363,13,23,0,0,0,0,0,0,0,0,0,0,0,0
1380,hsa-miR-4771,17,46,34,37,110,96,16,14,11,0,0,0,0,0,0,0,0,0,0,0
1381,hsa-miR-4772-3p,72,234,329,301,90,127,0,22,20,30,15,19,23,13,24,0,0,0,13,0
1382,hsa-miR-4772-5p,0,45,0,20,53,95,0,0,31,0,0,0,0,0,0,0,0,0,0,0
1383,hsa-miR-4773,0,20,20,21,51,52,0,0,0,0,0,0,10,0,24,0,0,14,0,0
1384,hsa-miR-4774-3p,0,14,15,11,41,33,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1385,hsa-miR-4774-5p,10,27,46,23,61,46,0,0,0,11,0,0,0,0,0,0,0,143,0,0
1386,hsa-miR-4775,87,193,281,299,88,86,0,29,27,34,27,15,30,37,77,15,11,16,15,19
1387,hsa-miR-4776-3p,16,19,17,33,161,161,0,33,10,0,0,0,0,0,0,0,0,13,0,0
1388,hsa-miR-4776-5p,0,27,29,37,52,63,0,0,0,0,0,0,0,0,0,0,0,47,0,0
1389,hsa-miR-4777-3p,0,16,11,20,49,51,0,0,0,0,27,0,0,0,0,0,0,0,0,10
1390,hsa-miR-4777-5p,0,11,17,18,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,hsa-miR-4778-3p,17,99,54,49,105,108,0,14,0,0,0,0,12,48,31,0,0,19,17,20
1392,hsa-miR-4778-5p,135,1111,1039,854,122,127,0,17,0,20,0,0,10,0,17,0,0,16,0,0
1393,hsa-miR-4779,10,138,18,15,33,40,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1394,hsa-miR-4780,118,370,386,369,158,171,13,30,33,10,21,0,0,0,0,0,0,19,0,0
1395,hsa-miR-4781-3p,31,222,950,320,182,312,29,29,13,31,38,0,18,0,0,10,0,14,0,0
1396,hsa-miR-4781-5p,134,528,534,472,105,100,0,31,37,67,0,0,0,0,0,0,0,0,0,0
1397,hsa-miR-4782-3p,0,10,0,12,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,hsa-miR-4782-5p,130,194,197,174,137,132,37,104,36,42,23,0,0,0,14,10,0,0,10,10
1399,hsa-miR-4783-3p,17,55,50,67,139,149,12,0,17,0,0,0,0,0,0,0,0,109,13,0
1400,hsa-miR-4783-5p,0,38,37,46,118,116,0,13,0,0,0,0,0,0,12,10,0,41,12,0
1401,hsa-miR-4784,15,122,63,74,223,226,32,16,14,11,0,176,66,105,260,20,77,38,36,62
1402,hsa-miR-4785,42,102,66,84,271,290,23,36,21,19,0,29,14,37,23,25,28,900,52,42
1403,hsa-miR-4786-3p,11,43,22,31,67,88,19,18,0,0,0,0,10,0,0,0,0,11,0,0
1404,hsa-miR-4786-5p,10,27,17,20,73,90,0,0,0,0,0,50,32,16,55,0,20,105,38,26
1405,hsa-miR-4787-3p,29,134,80,77,152,178,20,16,21,0,0,0,0,0,0,0,0,123,0,0
1406,hsa-miR-4787-5p,40,71,44,53,130,171,16,0,0,0,0,0,0,10,0,0,0,316,36,0
1407,hsa-miR-4788,27,92,89,83,106,75,0,10,0,0,85,0,0,0,0,0,0,12,0,0
1408,hsa-miR-4789-3p,23,114,169,216,48,47,0,0,22,12,0,0,0,0,0,0,0,0,0,0
1409,hsa-miR-4789-5p,0,24,20,39,58,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1410,hsa-miR-4790-3p,0,16,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,hsa-miR-4790-5p,0,20,15,15,48,37,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1412,hsa-miR-4791,0,10,28,23,33,178,0,0,0,0,0,26,29,31,58,17,20,47,22,33
1413,hsa-miR-4792,17,62,55,87,62,103,0,0,12,0,0,0,0,0,0,0,0,52,13,0
1414,hsa-miR-4793-3p,16,39,58,48,88,78,13,15,12,0,0,0,0,0,12,0,0,22,0,0
1415,hsa-miR-4793-5p,81,295,391,333,355,306,53,110,16,17,0,0,0,0,17,0,0,23,0,0
1416,hsa-miR-4794,0,15,14,17,58,68,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,hsa-miR-4795-3p,49,161,231,251,127,123,24,0,10,11,0,0,0,0,0,0,0,0,0,0
1418,hsa-miR-4795-5p,0,21,21,20,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,hsa-miR-4796-3p,13,33,27,49,64,81,11,11,11,15,0,0,0,0,11,0,0,11,16,13
1420,hsa-miR-4796-5p,16,37,29,54,48,62,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1421,hsa-miR-4797-3p,0,11,14,18,70,38,0,0,0,0,0,0,0,0,13,0,0,0,0,11
1422,hsa-miR-4798-3p,0,24,21,35,94,86,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1423,hsa-miR-4798-5p,15,29,32,24,133,169,0,15,0,0,0,0,0,0,0,0,0,0,0,0
1424,hsa-miR-4799-3p,0,17,17,22,0,26,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1425,hsa-miR-4799-5p,0,0,0,0,29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1426,hsa-miR-4800-3p,37,111,81,103,80,81,16,16,18,10,0,0,0,0,12,0,0,246,0,0
1427,hsa-miR-4800-5p,135,87,72,64,143,200,33,12,0,15,16,0,0,0,20,0,0,45,0,11
1428,hsa-miR-4801,0,18,20,27,54,57,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1429,hsa-miR-4802-3p,14,77,54,65,102,117,12,22,0,0,0,0,0,0,11,0,0,0,0,0
1430,hsa-miR-4802-5p,10,60,56,67,39,38,0,0,0,0,0,0,11,0,0,0,0,13,12,0
1431,hsa-miR-4803,30,63,62,58,127,160,23,23,0,12,0,0,0,0,0,0,0,0,0,0
1432,hsa-miR-4804-3p,17,48,56,26,148,194,0,10,0,0,0,0,0,0,0,0,0,10,0,0
1433,hsa-miR-4804-5p,17,109,33,26,151,165,41,24,0,0,0,0,0,0,25,0,0,0,0,12
1434,hsa-miR-483-3p,202,532,529,999,903,1169,150,126,268,1844,163,42,41,204,83,64,10,72,12,19
1435,hsa-miR-483-5p,246,989,672,592,785,610,1004,188,862,10287,1368,66,66,651,188,241,57,174,157,71
1436,hsa-miR-484,914,4368,7081,1735,2465,3215,136,72,41,21,115,542,703,317,430,190,183,102,106,179
1437,hsa-miR-485-3p,42,234,83,77,85,247,18,0,0,17,0,108,100,13,17,17,53,20,26,25
1438,hsa-miR-485-5p,29,78,39,42,75,93,0,0,0,64,10,232,153,16,17,64,197,0,249,204
1439,hsa-miR-486-3p,7033,15319,20471,5796,7415,9173,7372,6249,989,2812,8183,59,41,57,341,113,26,198,64,60
1440,hsa-miR-486-5p,53222,174886,222350,69299,91786,120660,19365,17704,3629,8178,21965,600,562,786,4922,1247,343,1799,1016,804
1441,hsa-miR-487a-3p,16,29,17,23,37,42,12,0,0,0,0,14,23,0,0,0,11,16,12,14
1442,hsa-miR-487a-5p,17,31,42,39,194,182,0,0,0,0,0,14,19,0,0,0,11,0,20,21
1443,hsa-miR-487b-3p,0,21,19,12,30,83,13,0,0,0,0,434,563,24,25,103,298,22,278,350
1444,hsa-miR-487b-5p,34,105,134,151,142,287,0,19,16,0,0,13,19,0,0,12,15,12,0,16
1445,hsa-miR-488-3p,10,52,37,40,48,71,0,0,0,0,0,0,11,0,46,0,10,10,46,23
1446,hsa-miR-488-5p,31,58,88,66,226,217,29,18,12,0,0,0,0,0,0,0,0,0,0,0
1447,hsa-miR-489-3p,0,11,13,15,50,61,11,0,10,0,0,13,72,0,129,12,0,0,0,0
1448,hsa-miR-489-5p,12,12,17,13,66,78,0,0,0,0,11,0,0,0,0,0,0,0,0,0
1449,hsa-miR-490-3p,29,63,67,61,91,79,17,12,14,16,15,0,0,0,0,0,0,0,0,0
1450,hsa-miR-490-5p,0,14,20,13,49,48,0,16,0,0,0,0,0,0,0,0,0,38,0,0
1451,hsa-miR-491-3p,12,46,33,27,145,135,0,20,0,0,0,0,0,0,11,0,0,17,0,0
1452,hsa-miR-491-5p,38,154,252,214,131,143,22,0,0,0,10,144,233,102,372,85,150,22,319,198
1453,hsa-miR-492,0,20,39,20,73,89,0,0,0,11,0,0,0,0,0,0,0,24,0,0
1454,hsa-miR-493-3p,0,23,0,14,53,97,0,14,0,0,0,278,498,0,16,151,182,17,267,417
1455,hsa-miR-493-5p,11,55,27,29,110,129,0,19,15,0,0,1007,1604,38,49,291,604,28,296,517
1456,hsa-miR-494-3p,86,444,539,429,136,208,14,33,15,17,0,227,566,33,35,58,201,12,299,348
1457,hsa-miR-494-5p,13,21,13,28,36,41,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1458,hsa-miR-495-3p,27,11,12,16,44,53,0,0,0,0,0,14,34,0,0,0,0,0,20,15
1459,hsa-miR-495-5p,0,41,33,33,36,67,0,0,0,0,0,19,15,0,0,0,0,0,10,16
1460,hsa-miR-496,12,22,42,27,52,42,0,0,0,0,0,0,12,0,14,0,0,0,10,10
1461,hsa-miR-497-3p,10,15,16,25,86,84,0,0,27,10,10,22,132,0,17,25,0,23,26,57
1462,hsa-miR-497-5p,0,12,24,29,57,60,0,10,0,10,0,1212,3201,83,213,335,211,155,498,1154
1463,hsa-miR-498,18,24,29,41,96,96,20,13,0,0,0,0,0,0,36,0,0,0,0,0
1464,hsa-miR-4999-3p,62,162,139,149,119,101,0,13,10,0,0,0,0,0,0,0,0,0,0,0
1465,hsa-miR-4999-5p,0,13,19,17,26,22,0,0,0,0,0,17,33,12,0,0,0,0,0,0
1466,hsa-miR-499a-3p,0,13,10,12,33,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467,hsa-miR-499a-5p,0,21,43,50,29,33,0,0,0,0,0,14,48,0,21,0,0,0,10,14
1468,hsa-miR-499b-3p,14,49,62,78,64,75,0,0,0,10,0,0,0,0,13,0,0,0,0,0
1469,hsa-miR-499b-5p,13,49,74,40,19,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1470,hsa-miR-5000-3p,0,11,11,14,79,102,0,12,0,0,0,0,0,0,0,0,0,13,0,0
1471,hsa-miR-5000-5p,12,21,26,24,86,107,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1472,hsa-miR-5001-3p,0,130,33,33,100,97,0,0,21,0,0,24,26,48,41,25,0,37,0,12
1473,hsa-miR-5001-5p,60,211,181,238,135,234,25,33,31,0,0,0,0,0,15,10,0,13,0,11
1474,hsa-miR-5002-3p,15,42,65,53,67,81,11,12,0,0,0,0,0,0,0,0,0,17,0,0
1475,hsa-miR-5002-5p,12,83,48,99,62,73,0,15,15,0,0,12,15,25,19,31,14,956,33,52
1476,hsa-miR-5003-3p,16,116,61,28,87,82,24,25,13,0,0,11,10,0,34,0,16,61,15,16
1477,hsa-miR-5003-5p,36,61,76,83,172,217,31,21,13,0,0,0,0,0,0,0,0,0,0,0
1478,hsa-miR-5004-3p,58,576,499,326,306,313,22,44,44,18,12,0,0,0,11,10,0,18,0,10
1479,hsa-miR-5004-5p,0,15,20,14,54,42,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1480,hsa-miR-5006-3p,34,139,144,117,256,244,0,22,0,12,0,15,0,0,12,12,10,57,0,22
1481,hsa-miR-5006-5p,19,47,32,27,121,110,10,19,0,0,0,0,0,0,12,0,0,28,0,0
1482,hsa-miR-5007-3p,24,62,85,225,87,160,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1483,hsa-miR-5007-5p,16,36,51,45,80,96,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,hsa-miR-5008-3p,65,152,230,235,82,70,0,0,0,0,0,0,0,0,12,0,0,18,0,0
1485,hsa-miR-5008-5p,10,23,27,37,50,44,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1486,hsa-miR-5009-3p,21,63,125,129,61,106,11,0,52,0,0,0,13,0,0,11,0,16,0,0
1487,hsa-miR-5009-5p,14,55,95,108,141,212,15,18,25,0,0,0,0,0,14,0,0,14,0,12
1488,hsa-miR-500a-3p,24,278,200,206,79,107,37,44,0,12,15,679,784,224,1160,796,426,96,631,817
1489,hsa-miR-500a-5p,11,19,15,34,35,55,0,0,0,11,487,28,119,23,83,46,26,17,57,56
1490,hsa-miR-500b-3p,0,43,39,34,45,34,15,0,0,11,0,11,0,0,11,0,12,0,16,0
1491,hsa-miR-500b-5p,0,10,0,13,11,26,0,0,0,0,55,32,68,0,55,0,14,0,27,30
1492,hsa-miR-501-3p,63,340,360,345,215,318,102,29,18,32,46,300,190,105,215,358,150,35,114,174
1493,hsa-miR-501-5p,18,38,26,32,89,99,15,17,0,0,0,138,87,54,159,75,43,22,75,92
1494,hsa-miR-5010-3p,13,40,37,27,97,122,20,13,0,0,0,26,22,11,45,18,25,26,14,44
1495,hsa-miR-5010-5p,12,37,44,33,194,178,50,41,0,0,0,0,0,0,19,14,0,0,0,14
1496,hsa-miR-5011-3p,0,11,0,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,hsa-miR-5011-5p,16,43,51,35,194,173,19,32,15,0,11,0,0,0,0,0,0,13,0,0
1498,hsa-miR-502-3p,12,47,58,52,89,144,0,0,0,0,0,667,794,161,799,438,310,112,485,574
1499,hsa-miR-502-5p,0,0,0,12,46,52,0,0,0,0,0,15,32,0,25,0,0,19,13,22
1500,hsa-miR-503-3p,0,34,19,26,97,94,0,0,0,0,0,0,0,0,11,0,0,0,13,10
1501,hsa-miR-503-5p,26,186,141,187,247,256,15,0,16,10,18,482,352,186,982,97,480,22,319,213
1502,hsa-miR-504-3p,15,55,91,81,69,77,10,0,0,0,0,0,0,0,0,0,0,16,0,0
1503,hsa-miR-504-5p,0,181,26,36,31,67,0,0,0,0,0,36,95,11,39,43,88,15,155,153
1504,hsa-miR-5047,22,59,58,92,110,124,16,20,0,0,29,0,0,0,13,0,0,11,0,0
1505,hsa-miR-505-3p,17,153,151,189,65,103,0,14,0,17,10,66,217,99,279,58,71,30,76,100
1506,hsa-miR-505-5p,0,41,33,43,71,51,0,0,0,13,0,25,27,12,42,15,22,0,13,12
1507,hsa-miR-506-3p,0,21,10,0,25,40,0,0,0,0,10,0,99,0,0,0,0,0,0,0
1508,hsa-miR-506-5p,0,86,93,125,48,82,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1509,hsa-miR-507,18,47,56,75,77,79,11,0,0,0,0,0,14,0,0,0,0,0,0,0
1510,hsa-miR-508-3p,13,56,61,74,83,116,14,0,0,0,0,46,1013,0,11,12,10,17,0,0
1511,hsa-miR-508-5p,34,219,210,220,75,63,0,0,0,22,0,14,90,0,0,0,0,12,0,0
