"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"hsa-miR-182-3p",5.01944557327041,-2.89898895547642,3.11975487808641,-0.929236131927965,0.352766726135025,NA,"Not Significant"
"hsa-miR-182-5p",19993.9721567998,0.619402611000331,0.997549655758956,0.620924088765362,0.534649570875553,0.846418319413558,"Not Significant"
"hsa-miR-1825",5.04813250437733,-6.25616907795288,3.2048567655625,-1.95209007315958,0.0509275115949429,NA,"Not Significant"
"hsa-miR-1827",12.1441096016694,-1.20968102878544,2.28210777200714,-0.530071823786618,0.596062133760715,0.857274987304525,"Not Significant"
"hsa-miR-183-3p",8.40419173512142,5.92953928565593,2.44309690908735,2.42705856800047,0.0152217983128509,0.229376753886753,"Not Significant"
"hsa-miR-183-5p",11252.6389566958,1.40397499967658,1.07766178451101,1.3027974266654,0.192643929548638,0.673050334475749,"Not Significant"
"hsa-miR-184",103.602545082955,0.270387647280707,0.99868723703411,0.270743068754639,0.786588649389134,0.922624132742323,"Not Significant"
"hsa-miR-185-3p",55.0039817163309,0.0303953443630572,0.837582800807194,0.0362893606862087,0.971051633295888,0.986398435268777,"Not Significant"
"hsa-miR-185-5p",2334.8087019666,0.297635121677846,0.655175219961676,0.454283239978545,0.649624977522302,0.880267023805413,"Not Significant"
"hsa-miR-186-3p",9.68479690906027,-2.0794735664116,2.26165789889391,-0.919446556187207,0.357862047429507,0.779978627065808,"Not Significant"
"hsa-miR-186-5p",3106.0031246721,0.23564130615493,0.617234829435615,0.381769295764458,0.702632495272097,0.898599481741908,"Not Significant"
"hsa-miR-187-3p",26.5062951861794,0.710734285765337,1.17400784614197,0.605391427409072,0.544918945690293,0.846418319413558,"Not Significant"
"hsa-miR-187-5p",3.60580893169809,-5.76227364194527,3.20944797201522,-1.79540958201828,0.0725884669208737,NA,"Not Significant"
"hsa-miR-188-3p",6.29976380839647,-3.69328338752652,3.12945985819236,-1.18016640407072,0.237934038142886,NA,"Not Significant"
"hsa-miR-188-5p",9.65597189593019,-0.666582359086021,2.30370248398941,-0.289352624185947,0.772311545423629,0.922131544672475,"Not Significant"
"hsa-miR-18a-3p",44.8825083643894,-0.127611837034833,0.95166340833865,-0.134093457746379,0.893328672884652,0.956868650384368,"Not Significant"
"hsa-miR-18a-5p",70.7709271371688,0.289606610622973,0.836991707158436,0.346008936702825,0.729335998582542,0.901338655154872,"Not Significant"
"hsa-miR-18b-3p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-18b-5p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1908-3p",52.0829635733669,-3.71844438118106,1.78216934559287,-2.08647084542017,0.0369359934382227,0.371058140977087,"Not Significant"
"hsa-miR-1908-5p",10.4568459019245,-7.3177458196112,3.19896126228563,-2.28753811616422,NA,NA,"Not Significant"
"hsa-miR-1909-3p",13.4452749529083,-1.45874231587003,2.24478678744955,-0.649835576378908,0.515798435856771,0.846418319413558,"Not Significant"
"hsa-miR-1909-5p",9.92719551426898,-1.86979810154936,2.63722029948052,-0.709003378260689,0.478322380427832,0.828335074552879,"Not Significant"
"hsa-miR-190a-3p",1.33168241390904,3.29792023583198,3.24899358772839,1.01505901651773,NA,NA,"Not Significant"
"hsa-miR-190a-5p",610.205980639063,-0.153340662570102,0.79311059236972,-0.193340832975056,0.84669204947755,0.943888840871657,"Not Significant"
"hsa-miR-190b",186.740316428298,-1.58717640138949,0.853307796713409,-1.86002800806772,0.0628815634612597,0.499609409222798,"Not Significant"
"hsa-miR-191-3p",50.5542290431898,-0.200043732286969,0.745129829537438,-0.268468291507202,0.788338878973564,0.922624132742323,"Not Significant"
"hsa-miR-191-5p",20681.0419772589,0.590769958577171,0.575968888895811,1.02569768952232,0.305034103772278,0.739513293813541,"Not Significant"
"hsa-miR-1910-3p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1910-5p",4.68755161120752,-6.1476209610582,3.20573754940576,-1.91769315682058,0.0551499299594535,NA,"Not Significant"
"hsa-miR-1911-3p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1911-5p",9.21034703978612,-1.39645896653421,1.95765148721234,-0.713333795957082,0.475639229335445,0.828335074552879,"Not Significant"
"hsa-miR-1912",5.04813250437733,-6.25616907795288,3.2048567655625,-1.95209007315958,0.0509275115949429,NA,"Not Significant"
"hsa-miR-1913",8.29336054290561,-6.98066034391029,3.20039241141153,-2.18118888140703,0.0291694488661676,NA,"Not Significant"
"hsa-miR-1914-3p",8.29336054290561,-6.98066034391029,3.20039241141153,-2.18118888140703,0.0291694488661676,NA,"Not Significant"
"hsa-miR-1914-5p",13.2699383284848,-4.23622353789435,2.74726813717038,-1.54197672974781,0.123079248483748,0.630505158170444,"Not Significant"
"hsa-miR-1915-3p",183.891137878319,-6.1544046396902,3.07114692119886,-2.00394341189244,NA,NA,"Not Significant"
"hsa-miR-1915-5p",9.50169699394843,-3.72033026873827,2.91304441623462,-1.27712788998499,0.20155709985242,0.673050334475749,"Not Significant"
"hsa-miR-192-3p",219.021315611098,-1.80576446888032,1.28193770192591,-1.40862107898648,0.158947242525342,0.672389750526768,"Not Significant"
"hsa-miR-192-5p",90567.6610553091,-2.31011540050832,1.31951859145662,-1.75072592039661,0.0799931323372243,0.534152771168152,"Not Significant"
"hsa-miR-193a-3p",11.5478699048748,-1.56413665872625,1.89021638191387,-0.827490796129142,0.407958936663816,0.782071233772868,"Not Significant"
"hsa-miR-193a-5p",547.981736320183,0.384860580772436,0.80111881853187,0.480403870024838,0.630940243012023,0.869187867585099,"Not Significant"
"hsa-miR-193b-3p",81.1355771438277,0.292829595431777,1.15982441270878,0.252477523513987,0.800671985121936,0.922624132742323,"Not Significant"
"hsa-miR-193b-5p",108.551214029612,-0.622489829832604,0.821144652681657,-0.75807572733952,0.44840564964449,0.805785680135033,"Not Significant"
"hsa-miR-194-3p",154.905734494423,-1.18805972442773,1.87907293606443,-0.632258440652139,NA,NA,"Not Significant"
"hsa-miR-194-5p",13860.958462417,-2.26659057972405,1.41053067933826,-1.60690626083185,NA,NA,"Not Significant"
"hsa-miR-195-3p",104.592758014927,0.0960680750932701,0.892686846445296,0.107616770064235,0.914299693663531,0.97095739035471,"Not Significant"
"hsa-miR-195-5p",3689.13545378791,0.367039318258605,0.867488454165414,0.423105709933307,0.672218136584932,0.894244522641143,"Not Significant"
"hsa-miR-196a-3p",16.3963158959055,-0.241904945485173,1.34786179107523,-0.179473108509292,0.857566230791308,0.94647930482676,"Not Significant"
"hsa-miR-196a-5p",4437.97133439208,5.08969790603339,1.20153797623275,4.235985883685,2.27551073103091e-05,0.00198879637892102,"Upregulated"
"hsa-miR-196b-3p",17.6684637653206,-8.07858285620996,3.1809078630397,-2.53970979482883,NA,NA,"Not Significant"
"hsa-miR-196b-5p",1425.65581335143,4.26669413904545,0.870843140755883,4.89949789963552,9.60818774589761e-07,9.33061787768279e-05,"Upregulated"
"hsa-miR-197-3p",527.508612030418,0.0808599465546021,0.603243331685037,0.134042006446613,0.893369357795932,0.956868650384368,"Not Significant"
"hsa-miR-197-5p",12.523218965673,-2.4154611788025,2.55491845704569,-0.945416152966211,0.344446458798724,0.774601744363973,"Not Significant"
"hsa-miR-1972",18.6041092358523,-8.15161298071875,2.73071427627816,-2.9851577851012,NA,NA,"Not Significant"
"hsa-miR-1973",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1976",23.9636491067599,-0.326873203469292,1.3128300788122,-0.248983633712167,0.803373441241343,0.922624132742323,"Not Significant"
"hsa-miR-198",5.6316489738248,-3.36476953157188,3.12585561792949,-1.07643152558679,0.281734309452921,NA,"Not Significant"
"hsa-miR-199a-3p",230703.711817693,0.588913388639384,0.827926594472319,0.711311114501315,0.476891465654052,0.828335074552879,"Not Significant"
"hsa-miR-199a-5p",10465.4273551464,0.861381012111198,0.836494719220726,1.02975068738468,0.303127054808142,0.739513293813541,"Not Significant"
"hsa-miR-199b-3p",28878.1698553423,0.678751839238975,0.852508920440329,0.796181509617979,0.425926543201169,0.788686014317419,"Not Significant"
"hsa-miR-199b-5p",9123.17562606023,0.98568662616611,0.923639274718998,1.06717703885642,0.285891898932839,0.739513293813541,"Not Significant"
"hsa-miR-19a-3p",306.339725637305,0.054303801467359,0.692042032141228,0.0784689353323512,0.93745504002173,0.978550967022536,"Not Significant"
"hsa-miR-19a-5p",15.9707289137307,-2.6314895711763,2.3417287354797,-1.12373800231701,0.261124189606517,0.712701400589836,"Not Significant"
"hsa-miR-19b-1-5p",6.68460478048464,-2.08915964180869,3.09351488715172,-0.675335247451236,0.499462794817139,NA,"Not Significant"
"hsa-miR-19b-2-5p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-19b-3p",2373.36071360668,0.0559296925555959,0.718130462788212,0.0778823562761054,0.937921634427224,0.978550967022536,"Not Significant"
"hsa-miR-200a-3p",35877.880322215,-0.238562267601007,1.00213542550909,-0.238053921185169,0.811839272990312,0.922624132742323,"Not Significant"
"hsa-miR-200a-5p",436.320574526214,0.498856402587804,0.936582049824483,0.532635024001678,0.594286252504407,0.857274987304525,"Not Significant"
"hsa-miR-200b-3p",14860.4393493906,-0.341588314936204,0.965479460345826,-0.353801742000654,0.723487467902532,0.901338655154872,"Not Significant"
